,Release Genre,Release Sub-Genre,Release URL,Release Title,Artist Name,Artist Location,Release Date,Tags,Track Info,Number of Tracks,Number of Fans
0,all,all,https://portrayalofguilt.bandcamp.com/album/portrayal-of-guilt-chat-pile-split,portrayal of guilt / Chat Pile Split,portrayal of guilt,"Austin, Texas",2021-08-17,"['punk', 'black metal', 'hardcore', 'metal', 'post-hardcore', 'screamo', 'Austin']","[{'Track Title': 'Touched by an Angel', 'Track Lyrics': 'My mind, tortured and depraved.\nDissolving.\nPulsating.\nTearing at the seams, walls dripping in filth.\nMoral deterioration.\nCursed by this miserable existence.\nUnattainable mercy.\nHeads hang low from those within.\nIf not them then who?\nIf not me, then you.\nEnd this pain forever.\nThe knife trembles in my hand.\nEndless pain forever.\nWill there be mercy on us?\nThe final day has come.\nI embrace this agony.\nEnd this pain forever.\nThe Devil reigns to drag me to Hell.\nWith no fight left in me,\nI succumb as our world folds.', 'Track Number': 1, 'Track Duration': '03:15'}, {'Track Title': 'Chat Pile - Brutal Truth', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': '03:35'}]",2,>1000
1,all,all,https://johncarpentermusic.bandcamp.com/album/halloween-kills-ost,Halloween Kills OST,John Carpenter,"Los Angeles, California",2021-10-15,"['alternative', 'electronic', 'new age', 'prog-rock', 'rock', 'Los Angeles']","[{'Track Title': 'Logos Kill', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': 'N/A'}, {'Track Title': 'Halloween Kills (Main Title)', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': 'N/A'}, {'Track Title': 'The Myers House', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': 'N/A'}, {'Track Title': 'First Attack', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': 'N/A'}, {'Track Title': 'Stand Off', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': 'N/A'}, {'Track Title': 'Let It Burn', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': 'N/A'}, {'Track Title': 'He Appears', 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': 'N/A'}, {'Track Title': 'From the Fire', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': 'N/A'}, {'Track Title': 'Strodes at the Hospital', 'Track Lyrics': 'N/A', 'Track Number': 9, 'Track Duration': 'N/A'}, {'Track Title': 'Cruel Intentions', 'Track Lyrics': 'N/A', 'Track Number': 10, 'Track Duration': 'N/A'}, {'Track Title': 'Gather the Mob', 'Track Lyrics': 'N/A', 'Track Number': 11, 'Track Duration': 'N/A'}, {'Track Title': 'Rampage', 'Track Lyrics': 'N/A', 'Track Number': 12, 'Track Duration': 'N/A'}, {'Track Title': 'Frank and Laurie', 'Track Lyrics': 'N/A', 'Track Number': 13, 'Track Duration': 'N/A'}, {'Track Title': 'Hallway Madness', 'Track Lyrics': 'N/A', 'Track Number': 14, 'Track Duration': 'N/A'}, {'Track Title': 'It Needs to Die', 'Track Lyrics': 'N/A', 'Track Number': 15, 'Track Duration': 'N/A'}, {'Track Title': 'Reflection', 'Track Lyrics': 'N/A', 'Track Number': 16, 'Track Duration': 'N/A'}, {'Track Title': 'Unkillable', 'Track Lyrics': 'N/A', 'Track Number': 17, 'Track Duration': '03:44'}, {'Track Title': 'Payback', 'Track Lyrics': 'N/A', 'Track Number': 18, 'Track Duration': 'N/A'}, {'Track Title': ""Michael's Legend"", 'Track Lyrics': 'N/A', 'Track Number': 19, 'Track Duration': 'N/A'}, {'Track Title': 'Halloween Kills (End Titles)', 'Track Lyrics': 'N/A', 'Track Number': 20, 'Track Duration': 'N/A'}]",20,>1000
2,all,all,https://tossportal.bandcamp.com/album/still-slipping-vol-1,still slipping vol. 1,Joy Orbison,"London, UK",2021-08-13,"['electronic', 'London']","[{'Track Title': 'w/ dad & frankie', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': '02:34'}, {'Track Title': 'sparko (w/ herron)', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': '02:15'}, {'Track Title': 'swag w/ kav (w/ james massiah & bathe)', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': '04:04'}, {'Track Title': 'better (w/ léa sen)', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': '05:01'}, {'Track Title': 'bernard?', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': '03:43'}, {'Track Title': 'runnersz', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': '02:20'}, {'Track Title': ""'rraine (w/ edna)"", 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': '03:50'}, {'Track Title': 'glorious amateurs', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': '03:19'}, {'Track Title': 's gets jaded', 'Track Lyrics': 'N/A', 'Track Number': 9, 'Track Duration': '01:20'}, {'Track Title': 'froth sipping', 'Track Lyrics': 'N/A', 'Track Number': 10, 'Track Duration': '03:14'}, {'Track Title': 'layer 6', 'Track Lyrics': 'N/A', 'Track Number': 11, 'Track Duration': '04:09'}, {'Track Title': 'in drink', 'Track Lyrics': 'N/A', 'Track Number': 12, 'Track Duration': '02:55'}, {'Track Title': 'playground (w/ goya gumbani)', 'Track Lyrics': 'N/A', 'Track Number': 13, 'Track Duration': '02:57'}, {'Track Title': 'born slipping (w/ tyson)', 'Track Lyrics': 'N/A', 'Track Number': 14, 'Track Duration': '04:32'}]",14,>1000
3,all,all,https://chatpile.bandcamp.com/album/portrayal-of-guilt-chat-pile-split,portrayal of guilt / Chat Pile Split,Chat Pile,"Oklahoma City, Oklahoma",2021-08-17,"['death metal', 'hardcore', 'industrial', 'metal', 'noise rock', 'sludge', 'Oklahoma City']","[{'Track Title': 'portrayal of guilt - Touched by an Angel', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': '03:15'}, {'Track Title': 'Brutal Truth', 'Track Lyrics': 'The brutal truth is\nThat I’m just a simian strutting around in a 4K suit and cumming\nIn their eyes, I’m normal and social\nBut when someone is screaming\nWhile they scream I just act like I’m fuckin\nDumb\nI wouldn’t\nI fuckin hoisted it up\nStupid\nGuess I fuckin forgot \n\nI was beating the nails into the cross with my fists\n\nThe brutal truth is that I’m just an idiot walking around I’m a cheap gorilla suit\nShake hands with Wonga\nOn Christ I’m gonna\nReach inside your fuckin skull and pry until I find the fuckin\nSong\nThere’s nothing\nThe truth of the matter is \nGood\nAnd fucking\nThings fucking apart\n\nI was beating the nails into the cross with my fists\n\nAlright fine\nI didn’t wanna have to tell\nBut since you’re here in my house now\nCornering me\nI didn’t wanna have to tell you\nBut I’ve been changing\nI’m in an altered state\n\nAnd that’s my brutal truth\n\nHang myself\nKill myself\nNo\nLook\nHey, look at me\nLook at him\nYou know, guys like us\nWe gotta stick together\nOk?', 'Track Number': 2, 'Track Duration': '03:35'}]",2,>1000
4,all,all,https://cherubs.bandcamp.com/album/slo-blo-4-frnz-sxy,SLO BLO 4 FRNZ & SXY,Cherubs,"Austin, Texas",2021-10-15,"['alternative', 'rock', 'alternative rock', 'indie rock', 'loud', 'noise rock', 'Austin']","[{'Track Title': ""Die Robbin'"", 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': 'N/A'}, {'Track Title': 'A Pair of Pear Tarts', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': 'N/A'}, {'Track Title': 'Lazy Snakes', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': 'N/A'}, {'Track Title': 'Sooey Pig (Sad)', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': 'N/A'}, {'Track Title': 'Little Barely Pieces (pop-O-Pies)', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': 'N/A'}, {'Track Title': ""Die Robbin' (Skrewd Version)"", 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': 'N/A'}, {'Track Title': 'A Pair of Pear Tarts (Skrewd Version)', 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': 'N/A'}, {'Track Title': 'Lazy Snakes (Skrewd Version)', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': '02:30'}, {'Track Title': 'Sooey Pig (Sad) (Skrewd Version)', 'Track Lyrics': 'N/A', 'Track Number': 9, 'Track Duration': 'N/A'}, {'Track Title': 'Little Barely Pieces (pop-O-Pies) (Skrewd Version)', 'Track Lyrics': 'N/A', 'Track Number': 10, 'Track Duration': 'N/A'}]",10,>1000
5,all,all,https://boniver.bandcamp.com/album/bon-iver-10th-anniversary-edition,Bon Iver (10th Anniversary Edition),Bon Iver,"Eau Claire, Wisconsin",2022-01-14,"['alternative', 'Eau Claire']","[{'Track Title': 'Perth', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': 'N/A'}, {'Track Title': 'Minnesota, WI', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': 'N/A'}, {'Track Title': 'Holocene', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': 'N/A'}, {'Track Title': 'Towers', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': 'N/A'}, {'Track Title': 'Michicant', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': 'N/A'}, {'Track Title': 'Hinnom, TX', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': 'N/A'}, {'Track Title': 'Wash.', 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': 'N/A'}, {'Track Title': 'Calgary', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': 'N/A'}, {'Track Title': 'Lisbon, OH', 'Track Lyrics': 'N/A', 'Track Number': 9, 'Track Duration': 'N/A'}, {'Track Title': 'Beth/Rest', 'Track Lyrics': 'N/A', 'Track Number': 10, 'Track Duration': 'N/A'}, {'Track Title': 'Hinnom, TX (AIR Studios – 4AD/Jagjaguwar Session)', 'Track Lyrics': 'N/A', 'Track Number': 11, 'Track Duration': 'N/A'}, {'Track Title': 'Wash. (AIR Studios – 4AD/Jagjaguwar Session)', 'Track Lyrics': 'N/A', 'Track Number': 12, 'Track Duration': 'N/A'}, {'Track Title': ""I Can't Make You Love Me (AIR Studios – 4AD/Jagjaguwar Session)"", 'Track Lyrics': 'N/A', 'Track Number': 13, 'Track Duration': 'N/A'}, {'Track Title': 'Babys (AIR Studios – 4AD/Jagjaguwar Session)', 'Track Lyrics': 'N/A', 'Track Number': 14, 'Track Duration': '06:13'}, {'Track Title': 'Beth/Rest (AIR Studios – 4AD/Jagjaguwar Session)', 'Track Lyrics': 'N/A', 'Track Number': 15, 'Track Duration': 'N/A'}]",15,>1000
6,all,all,https://newretrowave.bandcamp.com/album/love-kills-the-demon,Love Kills the Demon,ORAX,"New York, New York",2021-08-20,"['80s', '90s', 'electronic', 'darksynth', 'dreamwave', 'nrwrecords', 'retro', 'retrowave', 'synthpop', 'synthwave', 'trance', 'New York']","[{'Track Title': 'Despair', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': 'N/A'}, {'Track Title': 'A Gift Not Given', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': 'N/A'}, {'Track Title': ""Summer '89"", 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': '04:38'}, {'Track Title': 'The City of Tomorrow', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': 'N/A'}, {'Track Title': 'Relic', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': 'N/A'}, {'Track Title': 'I Want to Believe', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': 'N/A'}, {'Track Title': 'Promise', 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': 'N/A'}, {'Track Title': 'Escape', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': 'N/A'}, {'Track Title': 'Ouija', 'Track Lyrics': 'N/A', 'Track Number': 9, 'Track Duration': 'N/A'}, {'Track Title': 'Lost Tribe', 'Track Lyrics': 'N/A', 'Track Number': 10, 'Track Duration': 'N/A'}, {'Track Title': 'Mistake', 'Track Lyrics': 'N/A', 'Track Number': 11, 'Track Duration': '04:59'}, {'Track Title': 'Love Kills The Demon', 'Track Lyrics': 'N/A', 'Track Number': 12, 'Track Duration': 'N/A'}, {'Track Title': 'Fragments Of A Lost Time', 'Track Lyrics': 'N/A', 'Track Number': 13, 'Track Duration': 'N/A'}]",13,>1000
7,all,all,https://creepingdeathtx.bandcamp.com/album/the-edge-of-existence,The Edge of Existence,Creeping Death,"Dallas, Texas",2021-10-08,"['dallas', 'death metal', 'hardcore', 'metal', 'texas death metal', 'thrash metal', 'Dallas']","[{'Track Title': 'The Edge of Existence', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': '04:30'}, {'Track Title': 'Relics From The Past', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': 'N/A'}, {'Track Title': 'Humanity Transcends', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': 'N/A'}, {'Track Title': 'Sacrament of Death', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': 'N/A'}, {'Track Title': 'Doused In Flames', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': 'N/A'}, {'Track Title': 'Skinned Alive', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': 'N/A'}]",6,>1000
8,all,all,https://orangemilkrecords.bandcamp.com/album/wlfgrl-vinyl,WLFGRL vinyl,Machine Girl,,2021-08-09,"['new york', 'breakcore', 'drum and bass', 'juke', 'jungle', 'United States']","[{'Track Title': 'MG1', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': '00:46'}, {'Track Title': 'Ionic Funk (20XXX Battle Music)', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': '04:33'}, {'Track Title': 'Krystle (URL Cyber Palace Mix)', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': '03:35'}, {'Track Title': 'Ginger Claps', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': '03:05'}, {'Track Title': 'Ghost', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': '03:05'}, {'Track Title': '覆面調査員 (GabberTrap Mix)', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': '02:06'}, {'Track Title': 'Out By 16, Dead On The Scene', 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': '02:30'}, {'Track Title': 'かわいい Post Rave Maximalist', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': '02:28'}, {'Track Title': 'Phase α', 'Track Lyrics': 'N/A', 'Track Number': 9, 'Track Duration': '01:31'}, {'Track Title': 'Freewill (Phase β)', 'Track Lyrics': 'N/A', 'Track Number': 10, 'Track Duration': '05:04'}, {'Track Title': 'Excruciating Deth (Phase γ)', 'Track Lyrics': 'N/A', 'Track Number': 11, 'Track Duration': '04:53'}, {'Track Title': 'Hidden Power', 'Track Lyrics': 'N/A', 'Track Number': 12, 'Track Duration': '08:39'}, {'Track Title': 'MG2', 'Track Lyrics': 'N/A', 'Track Number': 13, 'Track Duration': '01:06'}, {'Track Title': 'Nightsaber', 'Track Lyrics': 'N/A', 'Track Number': 14, 'Track Duration': '04:15'}, {'Track Title': 'Lifeforce2', 'Track Lyrics': 'N/A', 'Track Number': 15, 'Track Duration': '03:21'}, {'Track Title': 'WLFGRL ACID', 'Track Lyrics': 'N/A', 'Track Number': 16, 'Track Duration': '02:16'}, {'Track Title': 'Phantasy13', 'Track Lyrics': 'N/A', 'Track Number': 17, 'Track Duration': '04:17'}]",17,>1000
9,all,all,https://notmeanttohappen.bandcamp.com/album/the-rising-and-setting-of-the-heavenly-bodies,The Rising and Setting of the Heavenly Bodies,TREN,,2021-10-15,"['electronic', 'ambient', 'electronica', 'minimal techno']","[{'Track Title': 'a1. tren - funeral canticle', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': 'N/A'}, {'Track Title': 'a2. tren - trembling', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': 'N/A'}, {'Track Title': 'a3. tren - positivism', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': 'N/A'}, {'Track Title': 'a4. tren - sphere', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': 'N/A'}, {'Track Title': 'b1. tren - birthday', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': '06:05'}, {'Track Title': 'b2. tren - sonnet 29', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': 'N/A'}, {'Track Title': 'b3. tren - visions', 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': 'N/A'}, {'Track Title': 'b4. tren - the future', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': 'N/A'}, {'Track Title': 'b5. tren - micro-story', 'Track Lyrics': 'N/A', 'Track Number': 9, 'Track Duration': 'N/A'}]",9,79
