,Release Genre,Release Sub-Genre,Search Format,Search Week,Search Category,Release URL,Scrape Date,Release Title,Artist Name,Artist Location,Release Date,Tags,Track Info,All Lyrics,Number of Tracks,Number of Fans
0,all,all,all,this week,top,https://tossportal.bandcamp.com/album/still-slipping-vol-1,2021-08-18,still slipping vol. 1,Joy Orbison,"London, UK",2021-08-13,"['electronic', 'London']","[{'Track Title': 'w/ dad & frankie', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': '02:34'}, {'Track Title': 'sparko (w/ herron)', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': '02:15'}, {'Track Title': 'swag w/ kav (w/ james massiah & bathe)', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': '04:04'}, {'Track Title': 'better (w/ léa sen)', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': '05:01'}, {'Track Title': 'bernard?', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': '03:43'}, {'Track Title': 'runnersz', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': '02:20'}, {'Track Title': ""'rraine (w/ edna)"", 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': '03:50'}, {'Track Title': 'glorious amateurs', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': '03:19'}, {'Track Title': 's gets jaded', 'Track Lyrics': 'N/A', 'Track Number': 9, 'Track Duration': '01:20'}, {'Track Title': 'froth sipping', 'Track Lyrics': 'N/A', 'Track Number': 10, 'Track Duration': '03:14'}, {'Track Title': 'layer 6', 'Track Lyrics': 'N/A', 'Track Number': 11, 'Track Duration': '04:09'}, {'Track Title': 'in drink', 'Track Lyrics': 'N/A', 'Track Number': 12, 'Track Duration': '02:55'}, {'Track Title': 'playground (w/ goya gumbani)', 'Track Lyrics': 'N/A', 'Track Number': 13, 'Track Duration': '02:57'}, {'Track Title': 'born slipping (w/ tyson)', 'Track Lyrics': 'N/A', 'Track Number': 14, 'Track Duration': '04:32'}]",N/A,14,>1000
1,all,all,all,this week,top,https://newretrowave.bandcamp.com/album/love-kills-the-demon,2021-08-18,Love Kills the Demon,ORAX,"New York, New York",2021-08-20,"['80s', '90s', 'electronic', 'darksynth', 'dreamwave', 'nrwrecords', 'retro', 'retrowave', 'synthpop', 'synthwave', 'trance', 'New York']","[{'Track Title': 'Despair', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': 'N/A'}, {'Track Title': 'A Gift Not Given', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': 'N/A'}, {'Track Title': ""Summer '89"", 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': '04:38'}, {'Track Title': 'The City of Tomorrow', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': 'N/A'}, {'Track Title': 'Relic', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': 'N/A'}, {'Track Title': 'I Want to Believe', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': 'N/A'}, {'Track Title': 'Promise', 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': 'N/A'}, {'Track Title': 'Escape', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': 'N/A'}, {'Track Title': 'Ouija', 'Track Lyrics': 'N/A', 'Track Number': 9, 'Track Duration': 'N/A'}, {'Track Title': 'Lost Tribe', 'Track Lyrics': 'N/A', 'Track Number': 10, 'Track Duration': 'N/A'}, {'Track Title': 'Mistake', 'Track Lyrics': 'N/A', 'Track Number': 11, 'Track Duration': '04:59'}, {'Track Title': 'Love Kills The Demon', 'Track Lyrics': 'N/A', 'Track Number': 12, 'Track Duration': 'N/A'}, {'Track Title': 'Fragments Of A Lost Time', 'Track Lyrics': 'N/A', 'Track Number': 13, 'Track Duration': 'N/A'}]",N/A,13,>1000
2,all,all,all,this week,top,https://orangemilkrecords.bandcamp.com/album/wlfgrl-vinyl,2021-08-18,WLFGRL vinyl,Machine Girl,,2021-08-09,"['new york', 'breakcore', 'drum and bass', 'juke', 'jungle', 'United States']","[{'Track Title': 'MG1', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': '00:46'}, {'Track Title': 'Ionic Funk (20XXX Battle Music)', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': '04:33'}, {'Track Title': 'Krystle (URL Cyber Palace Mix)', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': '03:35'}, {'Track Title': 'Ginger Claps', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': '03:05'}, {'Track Title': 'Ghost', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': '03:05'}, {'Track Title': '覆面調査員 (GabberTrap Mix)', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': '02:06'}, {'Track Title': 'Out By 16, Dead On The Scene', 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': '02:30'}, {'Track Title': 'かわいい Post Rave Maximalist', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': '02:28'}, {'Track Title': 'Phase α', 'Track Lyrics': 'N/A', 'Track Number': 9, 'Track Duration': '01:31'}, {'Track Title': 'Freewill (Phase β)', 'Track Lyrics': 'N/A', 'Track Number': 10, 'Track Duration': '05:04'}, {'Track Title': 'Excruciating Deth (Phase γ)', 'Track Lyrics': 'N/A', 'Track Number': 11, 'Track Duration': '04:53'}, {'Track Title': 'Hidden Power', 'Track Lyrics': 'N/A', 'Track Number': 12, 'Track Duration': '08:39'}, {'Track Title': 'MG2', 'Track Lyrics': 'N/A', 'Track Number': 13, 'Track Duration': '01:06'}, {'Track Title': 'Nightsaber', 'Track Lyrics': 'N/A', 'Track Number': 14, 'Track Duration': '04:15'}, {'Track Title': 'Lifeforce2', 'Track Lyrics': 'N/A', 'Track Number': 15, 'Track Duration': '03:21'}, {'Track Title': 'WLFGRL ACID', 'Track Lyrics': 'N/A', 'Track Number': 16, 'Track Duration': '02:16'}, {'Track Title': 'Phantasy13', 'Track Lyrics': 'N/A', 'Track Number': 17, 'Track Duration': '04:17'}]",N/A,17,>1000
3,all,all,all,this week,top,https://godisinthetvzine.bandcamp.com/album/a-carnival-of-sorts-an-r-e-m-covers-compilation,2021-08-18,A Carnival of Sorts: An R.E.M. covers compilation,Various Artists,"Cardiff, UK",2021-08-20,"['help musicians', 'r.e.m.', 'r.e.m. covers', 'Cardiff']","[{'Track Title': 'Finest Worksong', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': '03:50'}, {'Track Title': 'Get Up', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': 'N/A'}, {'Track Title': 'Near Wild Heaven', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': 'N/A'}, {'Track Title': 'So Central Rain', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': '04:31'}, {'Track Title': 'The One I Love', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': 'N/A'}, {'Track Title': 'Nightswimming', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': '03:03'}, {'Track Title': 'It’s the End of the World as We Know It (And I Feel Fine) (2021 Version)', 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': 'N/A'}, {'Track Title': 'Hairshirt', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': '05:18'}, {'Track Title': 'Crush With Eyeliner', 'Track Lyrics': 'N/A', 'Track Number': 9, 'Track Duration': 'N/A'}, {'Track Title': 'Orange Crush', 'Track Lyrics': 'N/A', 'Track Number': 10, 'Track Duration': 'N/A'}, {'Track Title': 'Moral Kiosk', 'Track Lyrics': 'N/A', 'Track Number': 11, 'Track Duration': 'N/A'}, {'Track Title': 'Let Me In', 'Track Lyrics': 'N/A', 'Track Number': 12, 'Track Duration': 'N/A'}, {'Track Title': 'Bang and Blame', 'Track Lyrics': 'N/A', 'Track Number': 13, 'Track Duration': 'N/A'}, {'Track Title': 'Welcome To The Occupation', 'Track Lyrics': 'N/A', 'Track Number': 14, 'Track Duration': 'N/A'}, {'Track Title': 'I wanted to be wrong', 'Track Lyrics': 'N/A', 'Track Number': 15, 'Track Duration': 'N/A'}, {'Track Title': 'Everybody Hurts', 'Track Lyrics': 'N/A', 'Track Number': 16, 'Track Duration': 'N/A'}, {'Track Title': 'Driver 8', 'Track Lyrics': 'N/A', 'Track Number': 17, 'Track Duration': 'N/A'}, {'Track Title': 'Sweetness Follows', 'Track Lyrics': 'N/A', 'Track Number': 18, 'Track Duration': 'N/A'}, {'Track Title': 'It’s the End of the World as We Know It (And I Feel Fine)', 'Track Lyrics': 'N/A', 'Track Number': 19, 'Track Duration': 'N/A'}, {'Track Title': 'Drive (featuring Sarah Quirke)', 'Track Lyrics': 'N/A', 'Track Number': 20, 'Track Duration': 'N/A'}, {'Track Title': 'Good Advices', 'Track Lyrics': 'N/A', 'Track Number': 21, 'Track Duration': 'N/A'}, {'Track Title': 'Imitation of Life', 'Track Lyrics': 'N/A', 'Track Number': 22, 'Track Duration': 'N/A'}, {'Track Title': 'The Great Beyond', 'Track Lyrics': 'N/A', 'Track Number': 23, 'Track Duration': 'N/A'}, {'Track Title': 'Fall On Me', 'Track Lyrics': 'N/A', 'Track Number': 24, 'Track Duration': 'N/A'}, {'Track Title': 'Living Well Is The Best Revenge', 'Track Lyrics': 'N/A', 'Track Number': 25, 'Track Duration': 'N/A'}, {'Track Title': 'Man on the Moon', 'Track Lyrics': 'N/A', 'Track Number': 26, 'Track Duration': 'N/A'}, {'Track Title': 'Pretty Persuasion', 'Track Lyrics': 'N/A', 'Track Number': 27, 'Track Duration': 'N/A'}, {'Track Title': 'New Test Leper', 'Track Lyrics': 'N/A', 'Track Number': 28, 'Track Duration': 'N/A'}, {'Track Title': 'Perfect Circle', 'Track Lyrics': 'N/A', 'Track Number': 29, 'Track Duration': 'N/A'}, {'Track Title': 'The One I love', 'Track Lyrics': 'N/A', 'Track Number': 30, 'Track Duration': 'N/A'}, {'Track Title': 'All the way to Reno', 'Track Lyrics': 'N/A', 'Track Number': 31, 'Track Duration': 'N/A'}, {'Track Title': 'Pop Song 89', 'Track Lyrics': 'N/A', 'Track Number': 32, 'Track Duration': 'N/A'}, {'Track Title': 'Fall On Me', 'Track Lyrics': 'N/A', 'Track Number': 33, 'Track Duration': 'N/A'}, {'Track Title': 'Leave', 'Track Lyrics': 'N/A', 'Track Number': 34, 'Track Duration': 'N/A'}, {'Track Title': ""What's The Frequency Kenneth"", 'Track Lyrics': 'N/A', 'Track Number': 35, 'Track Duration': 'N/A'}, {'Track Title': 'Half A World Away', 'Track Lyrics': 'N/A', 'Track Number': 36, 'Track Duration': 'N/A'}, {'Track Title': 'Nightswimming', 'Track Lyrics': 'N/A', 'Track Number': 37, 'Track Duration': 'N/A'}, {'Track Title': 'Low', 'Track Lyrics': 'N/A', 'Track Number': 38, 'Track Duration': 'N/A'}, {'Track Title': 'Country Feedback', 'Track Lyrics': 'N/A', 'Track Number': 39, 'Track Duration': 'N/A'}, {'Track Title': 'Find The River', 'Track Lyrics': 'N/A', 'Track Number': 40, 'Track Duration': 'N/A'}]",N/A,40,>1000
4,all,all,all,this week,top,https://projektrecords.bandcamp.com/album/kitsune-name-your-price,2021-08-18,Kitsune (name-your-price),jarguna & Ryuzen,"Portland, Oregon",2021-08-17,"['electronic', 'alternative', 'ambient', 'experimental', 'indie', 'Portland']","[{'Track Title': 'Kubinodanza', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': '05:48'}, {'Track Title': 'After Sunset', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': '10:46'}, {'Track Title': 'Shuneiro', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': '08:35'}, {'Track Title': 'Dragon’s Tears', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': '07:12'}, {'Track Title': 'Igamy', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': '07:56'}, {'Track Title': 'O-Inari', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': '16:00'}, {'Track Title': 'Yugen', 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': '06:27'}, {'Track Title': 'Neagari No Matsu', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': '07:39'}, {'Track Title': 'Kitsune, and the Valley of the Wolves', 'Track Lyrics': 'N/A', 'Track Number': 9, 'Track Duration': '10:56'}, {'Track Title': 'Before Dawn', 'Track Lyrics': 'N/A', 'Track Number': 10, 'Track Duration': '17:42'}]",N/A,10,>1000
5,all,all,all,this week,top,https://grouchnz.bandcamp.com/album/rare-specimens,2021-08-18,Rare Specimens,Grouch / Grouch In Dub,New Zealand,2021-08-16,"['dub', 'electronic', 'grouch', 'psychedelic', 'techo', 'zenonesque', 'new zealand music', 'progressive', 'psychedelic', 'psytrance', 'zenon', 'New Zealand']","[{'Track Title': 'Right Lymph Node', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': '07:26'}, {'Track Title': 'Deep Dive', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': '07:45'}, {'Track Title': 'Lek Nevel', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': '08:17'}, {'Track Title': 'Off the Geiger Meter', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': '07:16'}, {'Track Title': 'Breaking the Light', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': '08:39'}, {'Track Title': 'Swamp Wench', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': '10:10'}, {'Track Title': 'Smutty Birthday', 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': '08:42'}, {'Track Title': 'Magicianal', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': '09:05'}]",N/A,8,>1000
6,all,all,all,this week,top,https://notmeanttohappen.bandcamp.com/album/the-rising-and-setting-of-the-heavenly-bodies,2021-08-18,The Rising and Setting of the Heavenly Bodies,TREN,,2021-10-15,"['electronic', 'ambient', 'electronica', 'minimal techno']","[{'Track Title': 'a1. tren - funeral canticle', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': 'N/A'}, {'Track Title': 'a2. tren - trembling', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': 'N/A'}, {'Track Title': 'a3. tren - positivism', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': 'N/A'}, {'Track Title': 'a4. tren - sphere', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': 'N/A'}, {'Track Title': 'b1. tren - birthday', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': '06:05'}, {'Track Title': 'b2. tren - sonnet 29', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': 'N/A'}, {'Track Title': 'b3. tren - visions', 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': 'N/A'}, {'Track Title': 'b4. tren - the future', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': 'N/A'}, {'Track Title': 'b5. tren - micro-story', 'Track Lyrics': 'N/A', 'Track Number': 9, 'Track Duration': 'N/A'}]",N/A,9,>1000
7,all,all,all,this week,top,https://cuedotrecords.bandcamp.com/album/ash-dome,2021-08-18,Ash Dome,R.Seiliog,"England, UK",2021-08-27,"['electronic', 'ambient', 'electronica', 'United Kingdom']","[{'Track Title': ""Gwlith '77"", 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': 'N/A'}, {'Track Title': '22 Onnen', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': '03:31'}, {'Track Title': 'In The Direction Of Sunlight', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': 'N/A'}, {'Track Title': 'Rotunda', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': 'N/A'}, {'Track Title': 'Mind Garden', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': 'N/A'}, {'Track Title': 'Emerald Sylvan', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': '05:05'}, {'Track Title': 'Chalara', 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': 'N/A'}]",N/A,7,>1000
8,all,all,all,this week,top,https://theweatherstation.bandcamp.com/album/all-of-it-was-mine-2,2021-08-18,All Of It Was Mine,The Weather Station,"Toronto, Ontario",2021-08-16,"['folk', 'singer-songwriter', 'Toronto']","[{'Track Title': 'Everything I Saw', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': '02:42'}, {'Track Title': 'Came So Easy', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': '03:01'}, {'Track Title': 'Traveller', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': '02:38'}, {'Track Title': 'Trying', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': '02:46'}, {'Track Title': 'Chip On My Shoulder', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': '02:57'}, {'Track Title': 'Know It To See It', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': '02:04'}, {'Track Title': 'Yarrow and Mint', 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': '02:56'}, {'Track Title': 'Running Around Asking', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': '02:53'}, {'Track Title': 'Nobody', 'Track Lyrics': 'N/A', 'Track Number': 9, 'Track Duration': '03:00'}, {'Track Title': ""I've Been Fooled"", 'Track Lyrics': 'N/A', 'Track Number': 10, 'Track Duration': '03:24'}]",N/A,10,>1000
9,all,all,all,this week,top,https://lisabelladonna.bandcamp.com/album/moogmentum-presented-by-the-bob-moog-foundation,2021-08-18,Moogmentum (Presented by the Bob Moog Foundation),Lisa Bella Donna,,2021-08-21,"['berlinschool', 'electronic', 'ambient', 'analog', 'analogue', 'dark ambient', 'electro-acoustic', 'modular synth', 'moog']","[{'Track Title': 'Prologue', 'Track Lyrics': 'N/A', 'Track Number': 1, 'Track Duration': 'N/A'}, {'Track Title': 'Ecliptic', 'Track Lyrics': 'N/A', 'Track Number': 2, 'Track Duration': 'N/A'}, {'Track Title': 'Onward to a Dream', 'Track Lyrics': 'N/A', 'Track Number': 3, 'Track Duration': 'N/A'}, {'Track Title': 'Procession', 'Track Lyrics': 'N/A', 'Track Number': 4, 'Track Duration': 'N/A'}, {'Track Title': 'Natajassa', 'Track Lyrics': 'N/A', 'Track Number': 5, 'Track Duration': 'N/A'}, {'Track Title': 'Initiation', 'Track Lyrics': 'N/A', 'Track Number': 6, 'Track Duration': '02:15'}, {'Track Title': 'Reflections', 'Track Lyrics': 'N/A', 'Track Number': 7, 'Track Duration': 'N/A'}, {'Track Title': 'Big Briar Cove', 'Track Lyrics': 'N/A', 'Track Number': 8, 'Track Duration': 'N/A'}, {'Track Title': 'Audio-Visions', 'Track Lyrics': 'N/A', 'Track Number': 9, 'Track Duration': '08:11'}, {'Track Title': 'Remember, I love you', 'Track Lyrics': 'N/A', 'Track Number': 10, 'Track Duration': 'N/A'}, {'Track Title': 'Gardens of the Blue Ridge Mountains', 'Track Lyrics': 'N/A', 'Track Number': 11, 'Track Duration': 'N/A'}, {'Track Title': 'Epilogue', 'Track Lyrics': 'N/A', 'Track Number': 12, 'Track Duration': 'N/A'}]",N/A,12,>1000
